Engine,Scenario,Time,Energy
JS,mid,5.387192839,334.27
JS,mid,5.389370069,319.18
JS,mid,5.475703647,323.4
JS,mid,5.456097578,325.45
JS,mid,5.480563266,323.71
JS,mid,5.335942796,321.12
JS,mid,5.76541744,337.8
JS,mid,5.305528987,317.47999999999996
JS,mid,5.318825092,324.65000000000003
JS,mid,5.554882151,325.69
JS,mid,5.470126933,322.20000000000005
JS,mid,5.285618087,317.22
JS,mid,5.474536547,330.07
JS,mid,5.689617071,324.65
JS,mid,5.299618842,317.1
JS,mid,5.31964525,319.04
JS,mid,5.546777066,322.0
JS,mid,5.495833165,324.28
JS,mid,5.479550366,328.64
JS,mid,5.316653771,314.88
JS,mid,5.43857154,333.57000000000005
JS,mid,5.483827079,327.88
JS,mid,5.59521795,327.78
JS,mid,5.497288838,324.66
JS,mid,5.364235886,321.62
JS,mid,5.267264504,311.36999999999995
JS,mid,5.191246356,312.32
JS,mid,5.626939558,332.68
JS,mid,5.419929486,320.42
JS,mid,5.406181569,324.43
JS,mid,5.741404009,344.32
JS,mid,5.53639961,325.12
JS,mid,5.521109874,323.21999999999997
JS,mid,5.541343424,330.42999999999995
JS,mid,5.464875742,324.82
JS,mid,5.320455435,318.55
JS,mid,5.343466215,323.09000000000003
JS,mid,5.538718443,326.07
JS,mid,5.306920975,318.0
JS,mid,5.424656039,321.86
JS,mid,5.266594551,312.8
JS,mid,5.499955981,331.1
JS,mid,5.631257464,334.97999999999996
JS,mid,5.38882836,324.43
JS,mid,5.334114786,319.25
JS,mid,5.331366499,327.01
JS,mid,5.510088289,319.40999999999997
JS,mid,5.50264918,323.84000000000003
JS,mid,5.51497429,327.83
JS,mid,5.397203182,321.15000000000003
JS,mid,5.347584068,319.18
JS,mid,5.514977573,329.4
JS,mid,5.227515646,310.02
JS,mid,5.444326674,325.47999999999996
JS,mid,5.452106081,325.66
JS,mid,5.520435265,328.03000000000003
JS,mid,5.589428007,331.15000000000003
JS,mid,5.18042825,313.61
JS,mid,5.333943784,312.79
JS,mid,5.422095147,322.82
JS,mid,5.744181852,337.67
JS,mid,5.383783929,320.01
JS,mid,5.557238714,336.46
JS,mid,5.549239178,324.05
JS,mid,5.628730307,329.32
JS,mid,5.334115252,320.15999999999997
JS,mid,5.318240173,321.16
JS,mid,5.443975556,326.29
JS,mid,5.30691631,321.4
JS,mid,5.306600683,319.40000000000003
JS,mid,5.337368422,317.6
JS,mid,5.313835918,317.0
JS,mid,5.346453794,319.83
JS,mid,5.276439619,318.80999999999995
JS,mid,5.412557723,328.71
JS,mid,5.310799977,320.37
JS,mid,5.342037249,320.13
JS,mid,5.52249105,322.17
JS,mid,5.422731061,323.71
JS,mid,5.452727495,321.07
JS,mid,5.408296152,319.47
JS,mid,5.5074422,329.07
JS,mid,5.586448686,326.82
JS,mid,5.463998042,323.03
JS,mid,5.451864535,328.21999999999997
JS,mid,5.545760631,329.54
JS,mid,5.58913233,333.74
JS,mid,5.25021929,319.03
JS,mid,5.38819221,320.68
JS,mid,5.475727114,321.53000000000003
JS,mid,5.474199396,328.72
JS,mid,5.409405876,318.34000000000003
JS,mid,5.377182421,324.2
JS,mid,5.228820366,319.96000000000004
JS,mid,5.601600451,331.17
JS,mid,5.5111914,327.28000000000003
JS,mid,5.574695486,325.21
